user,median_score,mean_score,score_std,label,median_compound,mean_compound,compound_std,emoji,hash,hash_median,hash_std,url,url_median,url_std,trump,trump_median,trump_std
06ct0t68y1acizh9eow3g5rhancrppr8,0.8629359006881714,0.7632533866167068,0.2217963871154467,1,0.0,0.09957999999999999,0.4860063895743252,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0,0.0
071nxc49ihpd0jlfmvn2lghtayy3b5n9,0.6741156876087189,0.6028111597243696,0.2841678452225187,0,0.0,0.11395899999999999,0.39111256771580805,0.02,0.06,0,0.5089105019449873,0.99,1.0,0.1,0.0,0,0.0
1jjc4qfpeeffirv6pnq9aulrlk2fgl3k,0.46594609320163727,0.4852673883549869,0.3101745171978201,1,0.0,-0.036622,0.43654630785868576,0.0,0.01,0,0.1,1.8,2.0,0.4020151261036849,0.17,0,0.3775251680686368
2mczu9ibksh2qsazz0qkgrbj7bdk87y6,0.2241060510277748,0.33798072963021697,0.2984484820965464,0,0.0,0.14579899999999998,0.31117644138937894,0.0,0.0,0,0.0,1.57,2.0,0.497569851956243,0.03,0,0.1714466079977653
3efm6gac2ippn5rd7hq3cqfh6194oqmz,0.7232335209846497,0.6155748297274113,0.3074706959800465,1,0.0,-0.07525799999999998,0.3688564093836981,0.0,0.0,0,0.0,0.91,1.0,0.32082595426382343,0.1,0,0.30151134457776363
4kgofb9pvi5pyjxjzjrplrgqj99njn2c,0.22368483245372775,0.2662644509645179,0.2057489404805124,0,0.0,0.138708,0.49513660000309645,1.19,0.27,0,0.5835281060112275,0.48,0.0,0.5021167315686782,0.0,0,0.0
640i8g1cpqz1r4jy4lshpau35v54vycx,0.32468120753765106,0.3788750041462481,0.27520575710579803,1,0.0,-0.05021399999999999,0.32055998887678877,0.0,0.0,0,0.0,1.81,2.0,0.4191140246479061,0.06,0,0.23868325657594203
8vp74g6kssomu1a6akix6y3hqy6552t7,0.12060373649001122,0.25175276239402594,0.2807193325085594,1,0.0,0.07708200000000001,0.31094505584352894,0.01,0.0,0,0.0,1.8,2.0,0.4020151261036849,0.0,0,0.0
ae90k3wgo50si8sd1r5q99uxtnkvpdpi,0.1286684349179268,0.18481055663432927,0.19117979324334017,0,0.07944999999999999,0.202829,0.5482868478582571,0.61,0.41,0,0.6976873775321413,0.53,1.0,0.5213618530523515,0.01,0,0.1
fav48xfxollnr5ho5pf5e2489ts2vhll,0.24658753722906113,0.3332315746229142,0.2718615713727443,1,0.26544999999999996,0.174145,0.5415279028551594,0.03,0.31,0,0.6620293258480537,0.01,0.0,0.1,0.01,0,0.09999999999999999
fjo9rdodcq8gu0rp9cluyjmoclotqv00,0.21226468682289124,0.32864828687161207,0.3034790578335157,0,0.5859,0.5487480000000001,0.28714506152743763,0.0,0.84,1,0.3684529491774707,1.18,1.0,0.43531017619043716,0.0,0,0.0
gnubge5he0scnti43c95ylppja5hyu3e,0.1467585414648056,0.25714540935121477,0.2636233476529051,1,0.0,0.075457,0.38689178275929653,0.02,0.01,0,0.1,1.54,2.0,0.8216760402686176,0.02,0,0.1407052941362897
hc1khhq70dp6f4d05ul5ln95ucjem8n5,0.3143252581357956,0.36384645245969294,0.2493785620211751,1,0.0,-0.04349800000000003,0.4438535871936222,0.0,0.0,0,0.0,0.68,0.5,0.7638287395970013,0.0,0,0.0
heumv2vt7nk9tz7sto58s4q3dxmgxueq,0.960378885269165,0.7733150940388441,0.3048942646033339,0,0.0,-0.056567,0.2714258936960269,0.0,2.53,3,0.5016135580465918,1.49,1.0,0.5024183937956913,0.0,0,0.0
hu8w9emfx8y4fiodbe9uvd745cluu8og,0.5111936330795288,0.5062899316474795,0.30214480643794744,0,0.0,0.08945600000000004,0.4069405707784056,0.0,0.0,0,0.0,1.37,1.0,0.48523658709390977,0.02,0,0.1407052941362897
ilib386515rz7gma6xjlnbglimbu59ag,0.11771667748689651,0.20811851435806603,0.23523280986958175,0,0.0,0.1656360000000001,0.433455886520873,0.01,0.38,0,0.788554488807325,1.05,1.0,0.3295236844080537,0.0,0,0.0
iqx2tqavqtpmh1kdn5wnt2wvlvt4me97,0.13374393433332443,0.17754623944871128,0.13554743567503047,0,0.3497,0.26211700000000004,0.44199882491159664,0.63,0.44,0,0.7429126408395484,0.42,0.0,0.5537749241945383,0.0,0,0.0
jdzrviz1crtu0q5e7d9mvgk4dxujd8rk,0.03915460407733917,0.1303203921345994,0.20745303855154146,0,0.0,-0.008386000000000006,0.3307727502792101,0.03,0.79,1,0.5910955416799718,1.84,2.0,0.3684529491774706,0.0,0,0.0
jnxjj86slokqd3qxz4t0xd1sbh0pnk1g,0.5592405796051025,0.5163053976371884,0.2880973769574743,1,0.0,0.11948999999999999,0.3528357549909023,0.0,0.01,0,0.1,1.04,1.0,0.19694638556693236,0.0,0,0.0
l2a64i3p35nquw35cxneilk4i1an161t,0.3071541488170624,0.44213169305585326,0.3516320718770171,0,0.2424,0.2796850000000001,0.3734566174621393,0.02,0.04,0,0.24287836253956216,0.95,1.0,0.26111648393354675,0.0,0,0.0
mbshtka3n0bxmkmztjskzg89382hh36n,0.5337051153182983,0.5315379232913255,0.35723711826647686,0,0.0,0.10686400000000001,0.35946535987982947,0.0,2.02,2,0.6813533769215678,1.02,1.0,0.14070529413628965,0.0,0,0.0
n3l9sc6sinb2up1qxytkppkaq2cu4hd0,0.3507292717695236,0.4019142828416079,0.2683416629127191,0,0.31720000000000004,0.28235000000000005,0.34893604244498977,0.0,0.64,0,0.8229044398784814,1.0,1.0,0.0,0.0,0,0.0
nt0kallmiu3m93jvrwgll44wx6ooqnsa,0.18056567758321762,0.2354232426173985,0.1791809293836621,0,0.0,0.12346899999999998,0.42632234560555965,0.19,0.87,1,0.8245598764789553,0.41,0.0,0.5702205846437983,0.0,0,0.0
q4om4iaf2uvwyvjzifd6kcvuul5xm8a4,0.37246012687683105,0.4153083027713001,0.3092320826124028,0,0.0,-0.054761000000000004,0.33526423677994105,0.0,0.01,0,0.1,1.0,1.0,0.0,0.04,0,0.19694638556693236
sar6hff7d0nogdywvb0vkzivwir7cf3x,0.6661593019962311,0.6171806933730841,0.23568341954749109,0,0.0,-0.06959900000000001,0.42445491925979423,0.04,0.05,0,0.2611164839335468,0.44,0.0,0.49888765156985887,0.35,0,0.5751591786697668
ufhkj6o7xh0azv4izmvc1gqau89r2yea,0.18730438500642776,0.29405659064650536,0.2603878182836504,1,0.0,-0.006335999999999992,0.395019010287972,0.0,0.0,0,0.0,1.0,1.0,0.0,0.06,0,0.23868325657594208
ur6ur61c96tkp8r4v5og5wo9r32ctlcc,0.0829656831920147,0.12777456630952655,0.12640435662429808,0,0.3612,0.259562,0.420286081207272,0.16,0.22,0,0.5041244034376973,0.93,1.0,0.2564323999762428,0.0,0,0.0
xn1ntk5orulu90oq0vzp1xmhyy9tfno3,0.11389686912298203,0.20659345685970038,0.2335247037611065,0,0.0,0.042844999999999994,0.36851360469246497,0.03,0.17,0,0.5135536717202728,1.44,2.0,0.6407066805528491,0.03,0,0.1714466079977653
zso1bj16eaerh3y2y2sgnnkrdkkfac79,0.71169114112854,0.6254965987242759,0.2869399771296289,1,0.0,-0.062414000000000004,0.32584211396988516,0.0,0.0,0,0.0,0.97,1.0,0.22270150335361363,0.26,0,0.4408440022768081
zwfesexkazacsz78p8g1h6ockrcvoypf,0.1462939977645874,0.22459912609774618,0.22914472133365701,0,0.0,0.18730700000000003,0.3603525479851557,0.04,0.08,0,0.3673547263197998,1.23,1.0,0.6333333333333333,0.0,0,0.0
