user,median_score,mean_score,score_std,label,median_compound,mean_compound,compound_std,emoji,hash,hash_median,hash_std,url,url_median,url_std,trump,trump_median,trump_std
09py5qescynpnnckmzueqzr2y49moh1o,0.7096981704235077,0.6578200777433812,0.25244396189015855,0,0.0,0.129164,0.29359434548541646,0.0,0.0,0,0.0,1.51,2,0.5024183937956913,0.0,0,0.0
0s308xu8rhhuqlj0jbh49z0kdx5sr2b9,0.8694278001785278,0.80634446144104,0.19490039305355628,1,0.0,-0.09497200000000001,0.4166979406639003,0.0,0.0,0,0.0,0.96,1,0.19694638556693236,0.24,0,0.4521553322083513
14ka43f4ho6puh4iyhrfzsbrdpy5yixi,0.2614196166396141,0.3427787203527987,0.2891431948742233,0,0.0,0.24586899999999992,0.4317572668921063,0.9,2.09,2,1.9232495649002208,1.59,2,0.4943110704237104,0.0,0,0.0
1pafet4024z3sdkg590keixo01c2frgr,0.6317169964313507,0.5661754284985363,0.31642012227881766,0,0.0,0.030157000000000003,0.36270491923236103,0.0,0.03,0,0.17144660799776532,1.77,2,0.42295258468165076,0.01,0,0.09999999999999999
36o2vt1v0w4iwd29exnbgi27zi6au5fc,0.7594006061553955,0.6739364975318313,0.2525714361405885,1,0.06720000000000001,0.16602300000000003,0.43226706014203586,0.0,0.0,0,0.0,1.96,2,0.19694638556693242,0.03,0,0.17144660799776532
3zdfak10z9plvabj8dwau3zkmbgtcpjo,0.1829707846045494,0.25331774150021374,0.23487349713199862,1,-0.4767,-0.33160699999999993,0.38744315823046344,0.0,1.48,1,0.5021167315686783,1.06,1,0.23868325657594208,0.0,0,0.0
58kvfywze12icwge7rijfk0utvr9gdk9,0.6720320284366608,0.5952693434059619,0.30836733888495754,1,0.0,-0.03418899999999999,0.31478262754645553,0.02,0.02,0,0.14070529413628968,1.06,1,0.3711842908553348,0.19,0,0.4191140246479061
5rh7fov0yf6vnayzixjck46q4edm2xma,0.4684346169233322,0.45581566119100897,0.3106822837815395,0,0.24975,0.2700219999999999,0.4466818074276908,0.26,0.01,0,0.09999999999999999,0.69,1,0.5448565745851719,0.01,0,0.1
6d1rla5doi4ivwrlojrz5fpu3x6169aq,0.5794351994991302,0.554304439984262,0.24349849152524095,0,0.0,0.227007,0.3488289298119314,0.0,0.0,0,0.0,1.51,2,0.8586458683722454,0.0,0,0.0
6rafm58i0f3qq9q646staz263l7zx23z,0.8327014744281769,0.7561701063811779,0.23653141263332061,1,0.0,0.037128999999999995,0.4464120052635619,0.0,0.0,0,0.0,0.39,0,0.4902071300001972,0.16,0,0.3684529491774707
8n0ou578obejna7w0l0ha2ttl7u9jv1z,0.05869816057384014,0.19388517063111066,0.26988552650951714,0,0.0,0.16281099999999998,0.3029175671763532,0.0,2.59,3,1.5380362660079103,1.87,2,0.33799766898963113,0.0,0,0.0
8y3vw5wsbj8lefvmwar3v297dbkd4hiq,0.7152928709983826,0.6238555306196213,0.30155914422381963,0,-0.40095000000000003,-0.33596,0.4023976363968578,0.0,0.15,0,0.3859920970562725,1.21,1,0.5373898759633259,0.01,0,0.09999999999999999
9bwpkz1tsw7h8w57hs6fjpw41iusdjxn,0.5010952353477478,0.4931348411925137,0.2784823858019867,1,0.0,0.13873100000000002,0.3109534707130391,0.0,1.0,1,0.0,2.0,2,0.0,0.0,0,0.0
9kzwdxn6vp514xe06efyb26qdnidt3m1,0.914386123418808,0.8560066552460194,0.1493430867415202,1,0.0,-0.135341,0.4778039839619369,0.0,0.0,0,0.0,0.99,1,0.17378728435078383,0.25,0,0.43519413988924455
a2is3y4a06exppvypo27imxbo2bt0nc8,0.8942806720733643,0.8214011307060719,0.19177345028495538,1,0.0,-0.022558999999999992,0.4015030445297603,0.0,0.02,0,0.14070529413628968,0.99,1,0.09999999999999999,0.52,1,0.5218459852516185
ap52gs0xsrckqp5ot84z4qeqx133uu39,0.8259668052196503,0.6935473274346441,0.2840815583477445,1,0.0,0.11615800000000004,0.34685471827830044,0.0,0.0,0,0.0,0.99,1,0.1,0.02,0,0.14070529413628968
aqdpi64il7z7prcq26a81l1sfznd3on2,0.44014519453048706,0.4159941171109676,0.2620931551776502,0,0.0,0.045237000000000006,0.34078060262025217,0.0,0.01,0,0.09999999999999999,1.0,1,0.0,0.0,0,0.0
e2lxjfsgoej3zcy11zwjo157p5usis34,0.4159930497407913,0.4278556703682989,0.2903151686492498,1,0.0,0.08563100000000004,0.3512232665537505,0.0,0.0,0,0.0,0.04,0,0.19694638556693236,0.02,0,0.1407052941362897
