user,twitters,truth,fake_score,emotion_score,emoji,hash,trump,url
h56srndge9i25ksdtajjfgsm10e59kgb,"Robert Conrad (1935 – 2020), star of TV’s “The Wild Wild West” #URL#",1,0.5626277923583984,0.0,0,0,0,1
h56srndge9i25ksdtajjfgsm10e59kgb,Baby Cake Cut into Pieces and eaten #URL# via #USER#,1,0.6917542815208435,-0.2732,0,0,0,1
h56srndge9i25ksdtajjfgsm10e59kgb,"Tesla Model 3 Review: The TRUTH After 26,000 Miles #URL# via #USER#",1,0.9408671855926514,0.4648,0,0,0,1
h56srndge9i25ksdtajjfgsm10e59kgb,Hushabye  The Original Mystics #URL# via #USER#,1,0.2686701714992523,0.3182,0,0,0,1
h56srndge9i25ksdtajjfgsm10e59kgb,This Tesla Model S Owner Repairs His Own Car #URL# via #USER#,1,0.7972984910011292,0.0,0,0,0,1
h56srndge9i25ksdtajjfgsm10e59kgb,"I LUVED YOU SO MUCH,,,,BUT U MADE ME  WHAT IAM TODAY , A DRUNK",1,0.5591120719909668,-0.4824,0,0,0,0
h56srndge9i25ksdtajjfgsm10e59kgb,Thirty-one Days of Winter 2020 #URL#,1,0.17564259469509125,0.0,0,0,0,1
h56srndge9i25ksdtajjfgsm10e59kgb,"Hit the Home Run, I'll Buy You Anything - Home Run Derby Challenge #URL# via #USER#",1,0.9106389284133912,0.0772,0,0,0,1
h56srndge9i25ksdtajjfgsm10e59kgb,Dusty Springfield - You don't have to say you love me #URL# via #USER#,1,0.8797833323478699,0.6369,0,0,0,1
h56srndge9i25ksdtajjfgsm10e59kgb,Impeach Pelosi/Schiff/Nadler for Abuse of Power #URL#,1,0.976291298866272,-0.6369,0,0,0,1
h56srndge9i25ksdtajjfgsm10e59kgb,Top 25 Most Dangerous Dog Breeds in the World #URL# via #USER#,1,0.5325269103050232,-0.3804,0,0,0,1
h56srndge9i25ksdtajjfgsm10e59kgb,Rand Paul Plays YouTube Like a Fiddle Over Their Attempt to Censor Him #URL#,1,0.8817873597145081,0.128,0,0,0,1
